f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 212 ,0.00 ,0.04 ,,,,,,,0.07 ,0.05 ,,,0.27 ,0.06 ,,,0.6635087 ,-29.0752417 ,177.424 ,2.055 ,-98.659 ,203.02 ,thin ,F2V ,10.24 ,0.318 ,-16.60 ,-6.00 ,-7.40 ,6873.0 ,4.50 ,1.44 ,1.36 ,
HIP 213 ,0.34 ,0.04 ,0.08 ,0.09 ,0.16 ,0.09 ,0.16 ,0.07 ,0.03 ,0.05 ,,,0.28 ,0.06 ,0.21 ,0.05 ,0.6670275 ,51.4723999 ,88.158 ,1.026 ,110.728 ,141.54 ,thin ,G5 ,7.70 ,1.003 ,-21.40 ,-18.60 ,-7.40 ,4921.7 ,3.12 ,,9.86 ,
HIP 32984 ,0.00 ,0.22 ,0.64 ,0.43 ,0.09 ,0.12 ,-0.12 ,0.16 ,0.00 ,0.14 ,,,-0.03 ,0.16 ,0.15 ,0.10 ,103.0752106 ,-5.1737127 ,-1.962 ,8.450 ,-0.785 ,8.71 ,thin ,K3.5V ,6.58 ,1.071 ,-0.10 ,12.70 ,-19.80 ,4656.5 ,4.47 ,0.76 ,0.70 ,
HIP 32990 ,0.16 ,0.04 ,-0.20 ,0.09 ,-0.10 ,0.09 ,0.26 ,0.07 ,0.31 ,0.05 ,0.82 ,0.09 ,0.26 ,0.06 ,0.16 ,0.05 ,103.0952590 ,-5.3162769 ,-31.699 ,136.267 ,-13.019 ,140.51 ,thin ,K0III ,6.30 ,0.977 ,-22.80 ,-20.30 ,-17.60 ,5054.7 ,2.59 ,,11.25 ,
HIP 65758 ,0.10 ,0.02 ,0.02 ,0.07 ,,,0.06 ,0.07 ,0.05 ,0.05 ,,,0.18 ,0.06 ,0.14 ,0.05 ,202.2023648 ,-86.4496488 ,-3.414 ,-1.393 ,-59.436 ,59.55 ,N/A ,G5/6V ,9.19 ,0.750 ,,,,5472.2 ,4.45 ,0.98 ,0.91 ,
HIP 32993 ,0.18 ,0.04 ,,,,,0.34 ,0.07 ,0.19 ,0.05 ,0.08 ,0.09 ,0.27 ,0.06 ,0.25 ,0.05 ,103.1035605 ,7.8961895 ,-23.139 ,99.406 ,14.155 ,103.04 ,N/A ,F5 ,7.60 ,0.491 ,,,,6371.7 ,3.88 ,1.31 ,2.16 ,
HIP 32994 ,0.33 ,0.10 ,0.29 ,0.07 ,0.26 ,0.08 ,0.32 ,0.10 ,0.29 ,0.08 ,0.34 ,0.09 ,0.26 ,0.11 ,0.27 ,0.12 ,103.1044961 ,-37.8506052 ,-12.938 ,55.579 ,-44.345 ,72.27 ,N/A ,G5V ,8.65 ,0.691 ,,,,5752.0 ,4.22 ,1.02 ,1.39 ,
HIP 98532 ,-1.08 ,0.24 ,-1.01 ,0.09 ,-0.55 ,0.38 ,-0.70 ,0.14 ,-0.78 ,0.12 ,-0.59 ,0.09 ,-0.78 ,0.12 ,-0.88 ,0.40 ,300.2510217 ,-12.2556538 ,31.882 ,-54.667 ,-13.747 ,64.76 ,thick ,F8/G2V ,7.72 ,0.571 ,71.30 ,-122.00 ,41.40 ,5784.8 ,3.87 ,1.00 ,1.76 ,
HD 172268 ,-0.55 ,0.04 ,-0.43 ,0.09 ,-0.15 ,0.09 ,-0.30 ,0.07 ,-0.44 ,0.05 ,,,-0.35 ,0.06 ,-0.31 ,0.05 ,279.1272885 ,51.8763276 ,43.224 ,-269.038 ,347.221 ,441.38 ,N/A ,,,,,,,4522.5 ,,,23.38 ,
HD 121533 ,-0.33 ,0.04 ,,,,,0.02 ,0.07 ,-0.19 ,0.05 ,,,-0.14 ,0.06 ,-0.13 ,0.05 ,208.9514293 ,12.4388084 ,-50.763 ,-28.082 ,12.796 ,59.41 ,N/A ,,,,,,,5788.0 ,4.00 ,1.04 ,1.07 ,
Gaia DR2 5242077854771196544 ,0.24 ,0.04 ,,,,,0.25 ,0.07 ,0.19 ,0.05 ,,,-0.06 ,0.06 ,0.24 ,0.05 ,163.1011711 ,-61.4469016 ,-259.061 ,78.703 ,-497.563 ,566.46 ,N/A ,,,,,,,4396.1 ,4.31 ,0.73 ,0.82 ,
HIP 98557 ,-0.85 ,0.04 ,,,,,-0.52 ,0.07 ,-0.59 ,0.05 ,,,-0.47 ,0.06 ,-0.51 ,0.05 ,300.3041342 ,62.3917816 ,89.850 ,-153.735 ,340.489 ,384.24 ,thin ,M1 ,7.54 ,1.662 ,14.00 ,-9.70 ,10.20 ,3706.7 ,,,74.64 ,
HIP 65790 ,-0.06 ,0.02 ,-0.17 ,0.04 ,-0.02 ,0.06 ,0.10 ,0.04 ,0.01 ,0.10 ,0.60 ,0.09 ,-0.01 ,0.04 ,-0.07 ,0.02 ,202.3041691 ,10.8183092 ,-89.165 ,-36.577 ,18.417 ,98.12 ,thin ,K0III ,5.65 ,1.052 ,-12.50 ,-29.80 ,-0.10 ,4693.0 ,2.49 ,,11.16 ,
HIP 98565 ,-0.47 ,0.02 ,,,-0.31 ,0.09 ,-0.30 ,0.05 ,-0.41 ,0.04 ,-0.33 ,0.09 ,-0.38 ,0.02 ,-0.40 ,0.08 ,300.3162287 ,5.6482490 ,43.541 ,-74.463 ,8.531 ,86.68 ,thin ,F6IVm-2 ,7.46 ,0.438 ,31.10 ,11.30 ,0.60 ,6473.2 ,3.86 ,1.27 ,2.17 ,
2MASS 19140739+4056322 ,0.15 ,0.01 ,0.09 ,0.01 ,0.01 ,0.02 ,0.11 ,0.01 ,0.12 ,0.02 ,0.12 ,0.09 ,0.16 ,0.02 ,0.11 ,0.04 ,288.5308555 ,40.9423136 ,54.898 ,-163.781 ,149.853 ,228.68 ,N/A ,,,,,,,5686.0 ,4.45 ,1.03 ,1.03 ,
2MASS 19194792+4613382 ,-0.02 ,0.04 ,-0.18 ,0.09 ,-0.24 ,0.09 ,-0.12 ,0.07 ,-0.08 ,0.05 ,,,0.07 ,0.06 ,0.00 ,0.05 ,289.9497229 ,46.2272911 ,75.970 ,-209.298 ,232.409 ,321.86 ,N/A ,,,,,,,5462.0 ,4.51 ,0.99 ,0.91 ,
2MASS 20034497+4529242 ,0.21 ,0.04 ,0.22 ,0.09 ,0.20 ,0.09 ,0.15 ,0.07 ,0.18 ,0.05 ,,,0.23 ,0.06 ,0.16 ,0.05 ,300.9373954 ,45.4900671 ,99.434 ,-165.897 ,196.751 ,275.90 ,N/A ,,,,,,,5023.0 ,4.51 ,0.89 ,0.86 ,
HIP 98571 ,-0.24 ,0.04 ,-0.42 ,0.09 ,-0.20 ,0.09 ,-0.06 ,0.07 ,-0.11 ,0.05 ,,,-0.10 ,0.06 ,-0.17 ,0.05 ,300.3398474 ,50.1046933 ,43.099 ,-73.638 ,102.063 ,133.03 ,thin ,G8III ,5.06 ,1.122 ,-8.20 ,1.40 ,-6.70 ,4666.0 ,2.46 ,,21.23 ,
2MASS 19253381+4803561 ,0.11 ,0.04 ,0.00 ,0.09 ,-0.06 ,0.09 ,0.07 ,0.07 ,0.08 ,0.05 ,,,0.09 ,0.06 ,0.09 ,0.05 ,291.3908961 ,48.0655894 ,200.918 ,-512.922 ,613.213 ,824.31 ,N/A ,,,,,,,5131.8 ,4.51 ,0.91 ,0.87 ,
HIP 33037 ,-0.20 ,0.06 ,-0.03 ,0.19 ,0.11 ,0.09 ,-0.05 ,0.12 ,-0.14 ,0.06 ,0.58 ,0.09 ,-0.06 ,0.08 ,0.04 ,0.16 ,103.2484980 ,-23.1077003 ,-6.579 ,27.942 ,-12.249 ,31.21 ,thin ,K3V ,8.99 ,0.976 ,-36.70 ,-56.50 ,22.80 ,4854.2 ,4.46 ,0.79 ,0.74 ,
HIP 65808 ,0.26 ,0.08 ,0.25 ,0.15 ,0.14 ,0.16 ,0.27 ,0.12 ,0.22 ,0.08 ,0.14 ,0.09 ,0.23 ,0.08 ,0.26 ,0.12 ,202.3379705 ,-35.5709967 ,-24.850 ,-10.211 ,-19.214 ,33.03 ,thin ,G7IV-V ,7.26 ,0.724 ,-33.60 ,-12.50 ,-13.10 ,5643.5 ,4.35 ,0.99 ,1.14 ,
HIP 98583 ,-0.90 ,0.04 ,,,,,-0.51 ,0.07 ,-0.62 ,0.05 ,,,-0.57 ,0.06 ,-0.60 ,0.05 ,300.3689348 ,64.8209763 ,38.592 ,-65.860 ,162.372 ,179.42 ,thin ,M1III ,5.22 ,1.598 ,11.30 ,-29.80 ,-21.60 ,3951.7 ,,,68.46 ,
HIP 98589 ,0.22 ,0.03 ,0.19 ,0.06 ,0.06 ,5.07 ,0.21 ,0.08 ,0.18 ,0.06 ,0.02 ,0.12 ,0.24 ,0.08 ,0.22 ,0.07 ,300.3866674 ,-16.8689980 ,16.037 ,-27.349 ,-9.614 ,33.13 ,thin ,G2-V ,7.34 ,0.654 ,-31.90 ,-16.90 ,-13.00 ,5819.8 ,4.44 ,1.06 ,1.05 ,
HIP 65828 ,-0.33 ,0.04 ,-0.48 ,0.09 ,-0.31 ,0.09 ,-0.20 ,0.07 ,-0.23 ,0.05 ,,,-0.18 ,0.06 ,-0.26 ,0.05 ,202.4151946 ,74.8806895 ,-84.991 ,-35.057 ,340.280 ,352.48 ,N/A ,K0 ,7.54 ,1.210 ,,,,4660.2 ,,,19.98 ,
HIP 33061 ,0.48 ,0.04 ,0.32 ,0.09 ,,,0.40 ,0.07 ,0.45 ,0.05 ,,,0.42 ,0.06 ,0.49 ,0.05 ,103.3035404 ,-44.9286125 ,-13.739 ,58.102 ,-59.556 ,84.33 ,N/A ,G6III ,8.90 ,0.794 ,,,,5511.7 ,3.98 ,0.96 ,1.66 ,
HIP 98597 ,0.00 ,0.04 ,0.03 ,0.09 ,,,0.05 ,0.07 ,0.01 ,0.05 ,-0.01 ,0.09 ,0.00 ,0.06 ,-0.02 ,0.05 ,300.4040733 ,-1.6712617 ,61.237 ,-104.359 ,-3.530 ,121.05 ,N/A ,G2V ,8.86 ,0.567 ,,,,5978.9 ,4.21 ,1.15 ,1.40 ,
HIP 98599 ,0.35 ,0.14 ,0.28 ,0.06 ,0.36 ,0.04 ,0.34 ,0.19 ,0.35 ,0.24 ,0.39 ,0.09 ,0.40 ,0.18 ,0.43 ,0.20 ,300.4091045 ,-22.1108693 ,33.140 ,-56.466 ,-26.600 ,70.67 ,thin ,F7V ,8.11 ,0.556 ,-8.60 ,-19.10 ,4.10 ,6204.0 ,4.34 ,1.22 ,1.39 ,
HIP 98602 ,-0.15 ,0.04 ,-0.26 ,0.09 ,-0.14 ,0.09 ,0.01 ,0.07 ,-0.07 ,0.05 ,,,0.02 ,0.06 ,-0.04 ,0.05 ,300.4175658 ,62.1531177 ,43.719 ,-74.465 ,163.453 ,184.86 ,thin ,K0 ,7.74 ,0.998 ,-0.30 ,2.90 ,-15.90 ,4973.3 ,,,9.37 ,
HD 224139 ,-0.06 ,0.02 ,,,,,-0.05 ,0.07 ,0.12 ,0.05 ,0.18 ,0.09 ,-0.06 ,0.06 ,0.20 ,0.05 ,358.8151856 ,74.8738437 ,87.545 ,-1.811 ,323.939 ,335.56 ,N/A ,,,,,,,4619.6 ,3.57 ,,17.21 ,
HIP 33072 ,0.13 ,0.02 ,0.15 ,0.09 ,0.08 ,0.03 ,0.07 ,0.07 ,0.13 ,0.05 ,0.02 ,0.09 ,0.19 ,0.06 ,0.18 ,0.05 ,103.3184956 ,-74.7251878 ,-3.170 ,13.392 ,-50.395 ,52.24 ,thin ,F8V+A/F ,7.64 ,0.525 ,-44.00 ,-13.80 ,-8.10 ,6300.0 ,4.55 ,1.25 ,1.23 ,
HIP 305 ,0.22 ,0.04 ,0.22 ,0.09 ,0.32 ,0.18 ,0.26 ,0.02 ,0.24 ,0.03 ,0.23 ,0.09 ,0.20 ,0.01 ,0.22 ,0.04 ,0.9723797 ,-28.3938076 ,41.190 ,0.699 ,-22.269 ,46.83 ,thin ,G5IV ,7.66 ,0.741 ,-21.10 ,-15.70 ,17.40 ,5633.0 ,4.01 ,0.99 ,1.59 ,
HIP 98614 ,0.49 ,0.04 ,-0.37 ,0.09 ,0.11 ,0.09 ,0.02 ,0.07 ,0.24 ,0.05 ,0.40 ,0.09 ,-0.17 ,0.06 ,,,300.4446487 ,45.4766233 ,35.242 ,-59.962 ,70.719 ,99.19 ,thin ,kA2mF2 ,7.52 ,0.313 ,-18.70 ,-12.40 ,-12.50 ,7222.0 ,3.80 ,1.65 ,1.93 ,
HIP 98621 ,-0.08 ,0.04 ,-0.09 ,0.05 ,-0.09 ,0.14 ,0.00 ,0.05 ,-0.07 ,0.06 ,-0.27 ,0.17 ,-0.04 ,0.04 ,0.01 ,0.03 ,300.4668721 ,-69.1879423 ,6.781 ,-11.527 ,-35.184 ,37.64 ,thin ,G4V ,8.12 ,0.674 ,-53.90 ,1.70 ,-15.40 ,5671.2 ,4.45 ,1.00 ,0.97 ,
HIP 33086 ,0.17 ,0.04 ,-0.14 ,0.09 ,-0.14 ,0.09 ,0.04 ,0.07 ,-0.11 ,0.05 ,,,0.14 ,0.06 ,0.07 ,0.05 ,103.3592258 ,21.7182200 ,-33.503 ,141.077 ,57.756 ,156.08 ,thin ,K0 ,8.29 ,0.980 ,-80.70 ,-36.00 ,-7.80 ,4947.6 ,3.13 ,,6.17 ,
HIP 65855 ,-0.57 ,0.04 ,,,,,-0.31 ,0.07 ,-0.49 ,0.05 ,,,-0.48 ,0.06 ,-0.62 ,0.05 ,202.4901658 ,6.0135297 ,-132.684 ,-54.933 ,15.128 ,144.40 ,thin ,K0 ,6.51 ,0.956 ,-35.60 ,29.40 ,-2.30 ,4894.7 ,2.44 ,,9.21 ,
HIP 33094 ,0.06 ,0.06 ,0.22 ,0.12 ,0.16 ,0.14 ,0.23 ,0.10 ,0.12 ,0.07 ,0.05 ,0.08 ,0.14 ,0.08 ,0.19 ,0.08 ,103.3914272 ,-28.5397944 ,-5.268 ,22.126 ,-12.369 ,25.89 ,thick ,G5V ,6.05 ,0.708 ,17.10 ,-95.20 ,-6.30 ,5618.0 ,4.11 ,1.00 ,1.59 ,
2MASS 19420921+5112106 ,0.25 ,0.04 ,0.16 ,0.09 ,0.25 ,0.09 ,0.12 ,0.07 ,0.14 ,0.05 ,,,0.28 ,0.06 ,0.22 ,0.05 ,295.5383947 ,51.2029644 ,209.487 ,-438.442 ,604.424 ,775.53 ,N/A ,,,,,,,5938.0 ,3.98 ,1.13 ,2.45 ,
HIP 33109 ,0.02 ,0.04 ,0.08 ,0.04 ,0.04 ,0.02 ,0.01 ,0.07 ,0.00 ,0.05 ,,,0.05 ,0.06 ,0.03 ,0.01 ,103.4367780 ,-9.5154648 ,-8.977 ,37.574 ,-6.475 ,39.17 ,thin ,F8.5V ,7.05 ,0.566 ,3.60 ,1.20 ,-12.20 ,6093.0 ,4.29 ,1.14 ,1.25 ,
HIP 343 ,0.18 ,0.10 ,0.00 ,0.06 ,0.08 ,0.10 ,0.36 ,0.10 ,0.34 ,0.16 ,1.04 ,0.09 ,0.12 ,0.08 ,0.19 ,0.06 ,1.0824617 ,-16.5290366 ,86.725 ,1.639 ,-25.742 ,90.48 ,thin ,K0III ,5.78 ,1.084 ,-5.40 ,-25.10 ,-33.80 ,4784.0 ,2.50 ,,11.37 ,
HIP 98647 ,-0.20 ,0.04 ,-0.29 ,0.09 ,-0.03 ,0.09 ,-0.07 ,0.07 ,-0.16 ,0.05 ,,,-0.05 ,0.06 ,-0.13 ,0.05 ,300.5550736 ,64.6588312 ,55.619 ,-94.215 ,231.023 ,255.62 ,thin ,G5 ,7.95 ,0.982 ,3.30 ,-6.00 ,13.40 ,4935.6 ,,,9.08 ,
HIP 65882 ,0.10 ,0.02 ,0.07 ,0.07 ,0.30 ,0.09 ,0.02 ,0.07 ,0.08 ,0.05 ,,,0.13 ,0.06 ,0.07 ,0.05 ,202.5702644 ,28.5679241 ,-69.599 ,-28.929 ,41.039 ,85.82 ,thin ,F7V ,8.76 ,0.494 ,-6.10 ,-6.40 ,-5.40 ,6364.0 ,4.06 ,1.19 ,1.51 ,
2MASS 19565318+4441379 ,-0.01 ,0.04 ,-0.02 ,0.09 ,0.00 ,0.09 ,0.01 ,0.07 ,-0.02 ,0.05 ,,,-0.02 ,0.06 ,-0.06 ,0.05 ,299.2216065 ,44.6938879 ,222.027 ,-396.919 ,449.963 ,639.77 ,N/A ,,,,,,,5386.0 ,4.21 ,1.08 ,1.25 ,
HIP 348 ,-0.12 ,0.03 ,-0.04 ,0.09 ,-0.11 ,0.09 ,,,-0.16 ,0.05 ,-0.16 ,0.09 ,-0.07 ,0.06 ,-0.10 ,0.05 ,1.0895923 ,12.9572938 ,55.724 ,1.060 ,12.823 ,57.19 ,thin ,G5 ,8.60 ,0.640 ,-90.70 ,-11.10 ,-12.30 ,5762.0 ,4.39 ,1.03 ,1.02 ,
HIP 98658 ,-0.26 ,0.04 ,-0.26 ,0.09 ,-0.13 ,0.09 ,-0.14 ,0.07 ,-0.20 ,0.05 ,,,-0.09 ,0.06 ,-0.15 ,0.05 ,300.5842378 ,64.6344201 ,24.066 ,-40.719 ,99.766 ,110.41 ,thin ,G7III ,6.27 ,0.927 ,-18.50 ,23.70 ,-9.60 ,5095.3 ,,,8.40 ,
2MASS 19255383+4441006 ,-0.04 ,0.04 ,-0.03 ,0.09 ,-0.05 ,0.09 ,-0.07 ,0.07 ,-0.09 ,0.05 ,,,0.00 ,0.06 ,-0.03 ,0.05 ,291.4742728 ,44.6834854 ,231.965 ,-589.653 ,626.677 ,891.19 ,N/A ,,,,,,,5941.5 ,4.10 ,1.14 ,1.47 ,
HIP 98666 ,-0.21 ,0.04 ,-0.41 ,0.09 ,-0.15 ,0.09 ,-0.10 ,0.07 ,-0.10 ,0.05 ,,,-0.06 ,0.06 ,-0.14 ,0.05 ,300.6105825 ,79.6810097 ,24.775 ,-41.875 ,267.227 ,271.62 ,thin ,K0 ,6.70 ,0.911 ,3.00 ,4.90 ,-12.10 ,5231.8 ,,,16.23 ,
HIP 33139 ,0.41 ,0.04 ,,,,,0.24 ,0.07 ,0.36 ,0.05 ,,,0.14 ,0.06 ,0.23 ,0.05 ,103.5094078 ,-50.6115996 ,-8.018 ,33.374 ,-41.804 ,54.09 ,thin ,K0/1III ,6.24 ,0.988 ,-64.60 ,-32.30 ,-10.90 ,5030.0 ,3.36 ,,4.21 ,
HIP 98677 ,-0.33 ,0.08 ,-0.21 ,0.11 ,-0.21 ,0.14 ,-0.25 ,0.18 ,-0.26 ,0.05 ,-0.26 ,0.09 ,-0.25 ,0.05 ,-0.21 ,0.07 ,300.6423138 ,15.5920745 ,9.313 ,-15.721 ,5.099 ,18.97 ,thin ,K0VFe-0.9 ,7.15 ,0.714 ,53.30 ,-15.00 ,-17.30 ,5436.0 ,4.51 ,0.93 ,0.80 ,
HIP 379 ,0.01 ,0.02 ,-0.17 ,0.02 ,-0.06 ,0.04 ,0.16 ,0.02 ,0.10 ,0.10 ,0.59 ,0.09 ,-0.04 ,0.06 ,-0.04 ,0.06 ,1.1749221 ,67.1664451 ,35.926 ,0.737 ,85.343 ,92.60 ,thin ,K1III ,5.68 ,1.051 ,-24.30 ,-46.00 ,0.10 ,4770.0 ,2.50 ,,11.00 ,
HIP 65920 ,-0.45 ,0.04 ,,,,,-0.19 ,0.07 ,-0.26 ,0.05 ,,,-0.44 ,0.06 ,-0.48 ,0.05 ,202.7142814 ,-3.0498293 ,-116.091 ,-48.596 ,-6.705 ,126.03 ,N/A ,K0III ,6.91 ,1.030 ,,,,4832.9 ,2.62 ,,9.71 ,
HIP 33160 ,-0.37 ,0.06 ,-0.49 ,0.09 ,-0.45 ,0.09 ,-0.16 ,0.07 ,-0.16 ,0.06 ,0.89 ,0.09 ,-0.27 ,0.01 ,-0.13 ,0.14 ,103.5474953 ,-12.0386281 ,-18.259 ,75.778 ,-16.623 ,79.70 ,thick ,K3/4III ,4.08 ,1.418 ,-78.80 ,-50.30 ,-57.40 ,4126.3 ,1.57 ,,30.81 ,
HIP 394 ,-0.44 ,0.22 ,-0.25 ,0.14 ,-0.12 ,0.12 ,-0.25 ,0.10 ,-0.32 ,0.04 ,-0.40 ,0.28 ,-0.32 ,0.12 ,-0.37 ,0.11 ,1.2238528 ,34.6596670 ,31.595 ,0.675 ,21.849 ,38.42 ,thick ,G2V ,6.09 ,0.632 ,-130.00 ,-53.90 ,-12.20 ,5724.0 ,3.72 ,1.02 ,2.05 ,
HIP 98698 ,0.20 ,0.06 ,,,-0.04 ,0.09 ,0.11 ,0.24 ,0.24 ,0.06 ,,,0.32 ,0.08 ,0.30 ,0.02 ,300.6960237 ,3.3261850 ,6.554 ,-11.040 ,0.746 ,12.86 ,thin ,K4V(k) ,7.46 ,1.128 ,-22.30 ,-16.60 ,15.60 ,4650.0 ,4.42 ,0.76 ,0.69 ,
HD 179420 ,-0.21 ,0.04 ,-0.33 ,0.09 ,-0.17 ,0.09 ,-0.18 ,0.07 ,-0.13 ,0.05 ,,,-0.31 ,0.06 ,-0.34 ,0.05 ,287.4897074 ,49.6808054 ,92.053 ,-292.138 ,360.928 ,473.38 ,N/A ,,,,,,,4800.7 ,,,21.25 ,
HIP 98702 ,-0.11 ,0.10 ,0.01 ,0.09 ,0.08 ,0.09 ,0.00 ,0.07 ,-0.02 ,0.05 ,,,-0.14 ,0.06 ,-0.16 ,0.05 ,300.7044572 ,67.8735610 ,25.258 ,-42.531 ,121.658 ,131.33 ,thin ,K3III ,4.51 ,1.313 ,-28.40 ,-16.10 ,0.70 ,4332.9 ,2.04 ,,30.72 ,
HIP 400 ,-0.40 ,0.06 ,,,-0.02 ,0.09 ,,,-0.23 ,0.05 ,,,,,-0.22 ,0.05 ,1.2346726 ,23.2696294 ,24.229 ,0.522 ,10.422 ,26.38 ,thin ,G9V ,7.82 ,0.755 ,-43.20 ,-16.60 ,-14.00 ,5313.8 ,4.59 ,0.91 ,0.83 ,
HIP 65936 ,-0.30 ,0.04 ,,,,,-0.36 ,0.07 ,-0.13 ,0.05 ,,,-0.05 ,0.06 ,-0.30 ,0.05 ,,,-193.610 ,-81.231 ,-172.508 ,271.74 ,thin ,G8II/III ,3.90 ,1.186 ,-13.50 ,-15.00 ,-11.90 ,4543.5 ,,,,
HIP 407 ,0.16 ,0.02 ,-0.01 ,0.09 ,0.12 ,0.12 ,0.12 ,0.02 ,0.14 ,0.02 ,0.16 ,0.09 ,0.11 ,0.02 ,0.08 ,0.02 ,1.2446535 ,-70.2124420 ,14.642 ,0.318 ,-40.706 ,43.26 ,thin ,G5V ,8.13 ,0.710 ,0.40 ,-25.70 ,2.40 ,5674.3 ,4.43 ,1.02 ,0.99 ,
2MASS 19142816-1620023 ,0.10 ,0.04 ,,,,,0.11 ,0.07 ,0.08 ,0.05 ,,,0.11 ,0.06 ,0.05 ,0.05 ,288.6173479 ,-16.3339841 ,95.777 ,-284.312 ,-87.923 ,312.63 ,N/A ,,,,,,,5458.3 ,4.37 ,1.02 ,1.10 ,
HIP 410 ,-0.06 ,0.04 ,-0.31 ,0.09 ,-0.07 ,0.09 ,0.03 ,0.07 ,0.07 ,0.05 ,0.33 ,0.09 ,0.01 ,0.06 ,-0.04 ,0.05 ,1.2549337 ,27.6747908 ,147.921 ,3.240 ,77.596 ,167.07 ,thin ,G8II ,6.47 ,0.946 ,-58.40 ,-22.90 ,-23.00 ,4967.8 ,2.49 ,,11.61 ,
HIP 98714 ,-0.22 ,0.16 ,-0.16 ,0.34 ,-0.19 ,0.15 ,-0.10 ,0.14 ,-0.20 ,0.14 ,-0.22 ,0.18 ,-0.19 ,0.11 ,-0.13 ,0.16 ,300.7532194 ,28.3068575 ,27.687 ,-46.532 ,29.163 ,61.50 ,thin ,G5IV ,7.30 ,0.793 ,-20.10 ,-47.50 ,-35.70 ,5356.0 ,3.80 ,,2.59 ,
HIP 413 ,-0.08 ,0.04 ,-0.07 ,0.06 ,-0.05 ,0.02 ,0.08 ,0.06 ,-0.07 ,0.02 ,-0.16 ,0.05 ,-0.05 ,0.05 ,-0.06 ,0.05 ,1.2609737 ,-36.0151198 ,41.396 ,0.911 ,-30.100 ,51.19 ,thin ,G0V ,7.73 ,0.537 ,-50.10 ,-9.80 ,-15.90 ,6128.0 ,4.45 ,1.18 ,1.15 ,
HIP 65951 ,0.25 ,0.04 ,-0.08 ,0.09 ,-0.14 ,0.09 ,0.50 ,0.07 ,0.48 ,0.05 ,0.95 ,0.09 ,0.31 ,0.06 ,0.22 ,0.05 ,202.8156931 ,42.1061535 ,-54.907 ,-23.098 ,53.835 ,80.29 ,thin ,K2III ,6.07 ,1.075 ,-34.40 ,-20.50 ,-18.10 ,4845.5 ,2.29 ,,7.11 ,
HIP 417 ,0.18 ,0.04 ,-0.06 ,0.09 ,-0.04 ,0.09 ,0.35 ,0.07 ,0.44 ,0.05 ,1.11 ,0.09 ,0.29 ,0.06 ,0.17 ,0.05 ,1.2659281 ,-0.5030357 ,137.881 ,3.047 ,-1.211 ,137.92 ,thin ,K0III ,6.32 ,1.099 ,-10.10 ,-32.60 ,-34.50 ,4740.0 ,2.23 ,,12.40 ,
HIP 419 ,-0.39 ,0.04 ,-0.05 ,0.09 ,,,,,-0.27 ,0.05 ,,,-0.33 ,0.06 ,0.00 ,0.05 ,1.2784987 ,-42.5678735 ,134.990 ,3.013 ,-124.021 ,183.34 ,N/A ,G8/K0V ,8.97 ,0.860 ,,,,4979.0 ,,,3.91 ,
HIP 420 ,0.02 ,0.04 ,0.01 ,0.09 ,-0.13 ,0.09 ,-0.03 ,0.07 ,0.03 ,0.05 ,-0.22 ,0.09 ,-0.02 ,0.06 ,-0.03 ,0.05 ,1.2812296 ,-52.1517389 ,25.684 ,0.574 ,-33.062 ,41.87 ,thin ,G0V ,7.53 ,0.577 ,39.90 ,-21.70 ,-16.10 ,5934.8 ,4.45 ,1.16 ,1.07 ,
HIP 98723 ,-0.02 ,0.02 ,-0.07 ,0.09 ,,,0.05 ,0.07 ,0.03 ,0.05 ,,,0.02 ,0.06 ,0.32 ,0.05 ,300.7719465 ,-6.2880179 ,20.428 ,-34.307 ,-4.400 ,40.17 ,N/A ,K2/3V ,9.59 ,1.040 ,,,,4780.4 ,4.25 ,0.76 ,0.76 ,
HIP 65963 ,-0.04 ,0.12 ,,,,,0.07 ,0.07 ,-0.11 ,0.04 ,,,-0.11 ,0.06 ,-0.02 ,0.05 ,202.8695367 ,-8.0073381 ,-43.878 ,-18.507 ,-6.699 ,48.09 ,N/A ,G6V ,8.87 ,0.721 ,,,,5542.8 ,4.44 ,0.96 ,0.91 ,
HIP 98731 ,-0.19 ,0.04 ,,,,,0.07 ,0.07 ,0.00 ,0.05 ,,,-0.26 ,0.06 ,-0.12 ,0.05 ,300.8036900 ,50.3090376 ,106.824 ,-179.173 ,251.342 ,326.63 ,thin ,K5 ,7.18 ,1.427 ,-60.70 ,-47.60 ,-17.90 ,4196.9 ,,,30.17 ,
HD 154905 ,0.12 ,0.06 ,,,,,0.15 ,0.07 ,0.12 ,0.05 ,0.22 ,0.09 ,0.16 ,0.06 ,0.24 ,0.05 ,256.3342110 ,54.4706320 ,-3.728 ,-15.332 ,22.097 ,27.15 ,N/A ,,,,,,,6382.6 ,4.25 ,1.30 ,1.42 ,
HD 225644 ,0.11 ,0.04 ,0.24 ,0.09 ,0.23 ,0.09 ,0.10 ,0.07 ,0.13 ,0.05 ,0.30 ,0.09 ,0.36 ,0.06 ,,,296.2632215 ,39.1905458 ,170.918 ,-346.386 ,314.920 ,498.37 ,N/A ,,,,,,,7092.0 ,4.00 ,1.61 ,3.67 ,
